5.0 0.0 0.035 -0.035 0.0
# T[GeV] y Γ_s[GeV] Γ̄_s[GeV] s[GeV^3] H[GeV] P[GeV^4] dtdT[GeV^-2] Va[GeV] Vabar[GeV]
1.0277315990e-02 6.8455e+00 1.440e-16 1.841e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 7.0061e+00 1.482e-16 1.893e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 7.1667e+00 1.514e-16 1.932e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 7.3273e+00 1.557e-16 1.983e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 7.4879e+00 1.607e-16 2.047e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 7.6485e+00 1.636e-16 2.079e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 7.8091e+00 1.670e-16 2.117e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 7.9697e+00 1.712e-16 2.166e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 8.1303e+00 1.747e-16 2.208e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 8.2909e+00 1.787e-16 2.256e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 8.4515e+00 1.838e-16 2.318e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 8.6121e+00 1.873e-16 2.360e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 8.7727e+00 1.904e-16 2.394e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 8.9333e+00 1.947e-16 2.442e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 9.0939e+00 1.984e-16 2.487e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 9.2545e+00 2.021e-16 2.532e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 9.4152e+00 2.073e-16 2.592e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 9.5758e+00 2.115e-16 2.643e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 9.7364e+00 2.145e-16 2.675e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 9.8970e+00 2.187e-16 2.721e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.0058e+01 2.228e-16 2.769e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.0218e+01 2.263e-16 2.811e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.0379e+01 2.314e-16 2.869e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.0539e+01 2.363e-16 2.928e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.0700e+01 2.392e-16 2.959e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.0861e+01 2.432e-16 3.002e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.1021e+01 2.476e-16 3.053e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.1182e+01 2.511e-16 3.093e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.1342e+01 2.559e-16 3.148e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.1503e+01 2.614e-16 3.215e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.1664e+01 2.643e-16 3.244e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.1824e+01 2.682e-16 3.285e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.1985e+01 2.727e-16 3.337e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
1.0277315990e-02 1.2145e+01 2.763e-16 3.378e-16 5.459e-06 5.025e-23 1.115e-08 -1.826e+24 3.151e-12 -3.151e-12
